replicate,scale,n_basis,selected_normalized_rmse,local_normalized_rmse,diffusion_minus_local_nrmse
4,fine,768,0.1924509615968286,0.2242742825280616,-0.03182332093123302
5,fine,768,0.1869028490800099,0.2042442053833491,-0.01734135630333919
1,fine,896,0.1795571932735778,0.2166928515416653,-0.037135658268087485
2,fine,896,0.1871344435901077,0.2254056642787575,-0.0382712206886498
3,fine,896,0.180654524908967,0.2278770109014294,-0.0472224859924624
4,fine,896,0.1733625502482178,0.2242742825280616,-0.0509117322798438
5,fine,896,0.1687572658974967,0.2042442053833491,-0.03548693948585238
1,fine,1024,0.16299112340343025,0.2166928515416653,-0.05370172813823504
2,fine,1024,0.17960993862416685,0.2254056642787575,-0.04579572565459064
3,fine,1024,0.16910780725984267,0.2278770109014294,-0.05876920364158672
4,fine,1024,0.1641344493642382,0.2242742825280616,-0.0601398331638234
5,fine,1024,0.15761493978732383,0.2042442053833491,-0.04662926559602526
1,fine,1280,0.14336765763449677,0.2166928515416653,-0.07332519390716852
2,fine,1280,0.1658615257130768,0.2254056642787575,-0.05954413856568069
3,fine,1280,0.15639155925900536,0.2278770109014294,-0.07148545164242404
4,fine,1280,0.15321390343024108,0.2242742825280616,-0.07106037909782054
5,fine,1280,0.14277072519943468,0.2042442053833491,-0.06147348018391441
1,fine,1536,0.13765529585718808,0.2166928515416653,-0.0790375556844772
2,fine,1536,0.15272287395447257,0.2254056642787575,-0.07268279032428493
3,fine,1536,0.15502207279061683,0.2278770109014294,-0.07285493811081256
4,fine,1536,0.14608286519336777,0.2242742825280616,-0.07819141733469384
5,fine,1536,0.14053908175760024,0.2042442053833491,-0.06370512362574884
1,fine,1792,0.1360596829123846,0.2166928515416653,-0.08063316862928069
2,fine,1792,0.15160867863374117,0.2254056642787575,-0.07379698564501633
3,fine,1792,0.16177281634159474,0.2278770109014294,-0.06610419455983466
4,fine,1792,0.14558252342960407,0.2242742825280616,-0.07869175909845755
5,fine,1792,0.13584323003348675,0.2042442053833491,-0.06840097534986234
1,fine,2048,0.1402872349352572,0.2166928515416653,-0.0764056166064081
2,fine,2048,0.16486409034522476,0.2254056642787575,-0.06054157393353274
3,fine,2048,0.15738531855366716,0.2278770109014294,-0.07049169234776223
4,fine,2048,0.14661460867537923,0.2242742825280616,-0.07765967385268238
