noise_fraction,n_basis,n_seed_pairs,validation_observed_nrmse_mean,validation_observed_nrmse_std_between_seeds,validation_observed_nrmse_sem_between_seeds,test_hidden_nrmse_3d_mean,test_hidden_nrmse_3d_std_between_seeds,test_latent_nrmse_radial_mean,test_hidden_nrmse_tangential_mean,effective_degrees_of_freedom_mean,within_basis_selector_agreement_mean
0.1,3,5,0.968210035736217,0.004860627487798375,0.002173738695204239,1.0814053768788021,0.013244842506902842,0.9604642367042061,1.1647736607272052,2.9999999968220017,1.0
0.1,6,5,0.9377498231425943,0.008488848035684516,0.0037963282516912276,0.9612490798450224,0.010643013693769273,0.9337181467934462,0.9817022118328907,5.789638800067779,0.4
0.1,11,5,0.9260705382102078,0.00995537588807697,0.0044521794454604885,0.9635522310149739,0.013255601273134543,0.9200728901119384,0.9953948797023486,10.814430120373254,0.4833333333333333
0.1,19,5,0.678960895946113,0.009836820775750193,0.004399159987411929,0.8471644884481639,0.021451445937687642,0.6780502943220915,0.9557549149339384,18.085941394581752,0.25
0.1,35,5,0.5882219799171483,0.015370556656896319,0.006873921907366416,0.7277640718381283,0.02942278183247414,0.5828188244300516,0.8213458070640917,34.067963439139454,0.23333333333333334
0.1,67,5,0.5302316522367374,0.01022263378743081,0.004571700811556285,0.6925979641937009,0.02469876846099556,0.5201472517734916,0.7994907371554196,64.28922526077562,0.35
0.1,131,5,0.44847764314752936,0.008356207896447225,0.0037370097781153034,0.6972486714573266,0.02898662087957305,0.45313935787774273,0.8367432729248167,126.1064567480121,0.7833333333333333
0.1,259,5,0.32562350661255957,0.010511639616983367,0.004700948147710932,0.5964591617055611,0.01948313675945341,0.31929791898276655,0.7411806907687671,237.998681186162,0.8666666666666668
0.1,387,5,0.2844582403746003,0.012651871942688844,0.005658089141294916,0.5760593174012627,0.021377290286005966,0.27303516407668704,0.7266609126956551,342.1013390537789,0.8166666666666668
0.1,514,5,0.25488959246032383,0.010363105325302938,0.004634521593073488,0.552840027695061,0.03282088479895468,0.23604374680397305,0.7043950996033441,441.18863751667334,0.7666666666666667
0.1,643,5,0.23063427428734004,0.010974666571692252,0.004908020096939689,0.5307602756496193,0.04388140982897889,0.20799222005579376,0.6809086426059869,541.8202728758995,0.7
0.1,771,5,0.21363408478634702,0.008720094307289478,0.0038997447282616425,0.5246983783857866,0.050107201605064544,0.18359282886725709,0.67820103979785,658.6045052945555,0.55
0.1,899,5,0.20276361113150712,0.004784315140009816,0.0021396107757686742,0.5177904611600848,0.03756310063594772,0.17091186102398645,0.6709774611952273,753.6682921595321,0.5333333333333333
0.1,1027,5,0.1924689138607624,0.005284747621942365,0.0023634109853186975,0.4982471508662686,0.02045467502061587,0.15907874407268383,0.6465851016217681,813.5380572377532,0.6166666666666667
0.1,1283,5,0.1828570937973378,0.006878803609003018,0.0030762944947203266,0.4785745472366541,0.02014062860019902,0.14926477146281597,0.621744593304008,891.6717436938332,0.7666666666666666
0.1,1539,5,0.1763766303435998,0.007133710888000354,0.003190292495479836,0.4596594197715927,0.016000515350220797,0.14228087114772964,0.5973379790249864,862.2040657184023,0.9833333333333332
