noise_fraction,n_basis,seed_pair_index,validation_observed_nrmse_seed_mean,test_hidden_nrmse_3d_seed_mean,test_latent_nrmse_radial_seed_mean,test_hidden_nrmse_tangential_seed_mean,effective_degrees_of_freedom_seed_mean,selector_agreement_seed_mean
0.05,1027,2,0.15911439809366354,0.4989557375845279,0.14893920553552828,0.6374173214605724,906.84343090598,0.3333333333333333
0.05,1027,3,0.1633997984785848,0.5365856452605361,0.1483376681621935,0.7081783833885411,1017.0531806927062,0.0
0.05,1027,4,0.16631782273387355,0.5255630660990437,0.13174527474632522,0.6858096073125233,1017.915144732654,0.0
0.05,1283,0,0.15298175326429667,0.5093822573090717,0.12774437449525305,0.6763558702848034,1262.4271240271248,0.0
0.05,1283,1,0.15511287929070702,0.550396960673763,0.16053304221424172,0.7143626888522214,1221.5811230290515,0.08333333333333333
0.05,1283,2,0.13870535073868343,0.5307924312770685,0.14694275475769256,0.6799535250769355,1262.0523250923738,0.0
0.05,1283,3,0.15747924760367146,0.47959920648063575,0.14612597625226487,0.6304285757860446,940.3004746617352,0.6666666666666666
0.05,1283,4,0.15415035530155644,0.5085211099000079,0.13166471292751378,0.6629563087871401,1262.1213541804016,0.0
0.05,1539,0,0.14635353754890654,0.5134577026383292,0.12179459110926454,0.6828087944280662,1499.8329915494753,0.0
0.05,1539,1,0.14890918727274732,0.4975370841008304,0.15635883989066432,0.6437555964679115,1011.950977931076,0.75
0.05,1539,2,0.13435876323010468,0.5080073517280094,0.14129038482621,0.6506541984153554,1337.0351953926045,0.25
0.05,1539,3,0.1477131823010323,0.5182809523081956,0.1324500007326221,0.685768493631225,1499.5811340277562,0.0
0.05,1539,4,0.1520997983894584,0.47623279769794413,0.1260726301643794,0.6203999828400981,1229.7242600734905,0.4166666666666667
