protocol,subset,comparison,model_a,model_b,label_seed,delta_nrmse_radial,delta_nrmse_tangential,delta_nrmse_3d,delta_direction_error_median_deg,delta_octant_nrmse_3d_mean,delta_octant_nrmse_3d_std,delta_worst_octant_nrmse_3d
retuned_practical,observed_test_unweighted,global_minus_unweighted,global_g0p75_cap20,unweighted,20270303,0.005856603866776902,0.04542617555792633,0.036613238548174304,1.8828439949125002,0.044664031087101486,-0.013793325668289724,0.01852315249190195
retuned_practical,observed_test_unweighted,octant_minus_unweighted,octant_g1p00_cap20,unweighted,20261203,0.00203097575715859,0.03541989181287489,0.028700720517956496,1.5499048714410648,0.030980114107294676,-0.00817282464113734,0.01832385564530148
retuned_practical,observed_test_unweighted,octant_minus_unweighted,octant_g1p00_cap20,unweighted,20261213,0.0027912314831153584,0.033988177748148246,0.027426472072880848,1.051288487180246,0.025256547680066688,-0.005126190809034745,0.01286097131084879
retuned_practical,observed_test_unweighted,octant_minus_unweighted,octant_g1p00_cap20,unweighted,20261223,0.0034343542841772587,0.04589829100607282,0.03722512483271706,1.2882402459971232,0.0406629924021735,-0.003729493802421352,0.01938243823859087
retuned_practical,observed_test_unweighted,octant_minus_unweighted,octant_g1p00_cap20,unweighted,20270103,0.02064738601135148,0.11197687489940517,0.09139212081440506,2.3785066375546684,0.07440125978752701,0.048209549861092674,0.18331410944717197
retuned_practical,observed_test_unweighted,octant_minus_unweighted,octant_g1p00_cap20,unweighted,20270113,0.002591493671219719,0.03748333969993786,0.03035225494476196,1.375418365465018,0.029589632406822858,-0.003915955535041898,0.017690131138433207
retuned_practical,observed_test_unweighted,octant_minus_unweighted,octant_g1p00_cap20,unweighted,20270123,0.0037539059414143233,0.07242431541247613,0.05835993417771829,1.6304159551568365,0.05592862210538985,0.02113094557785823,0.1095378998311809
retuned_practical,observed_test_unweighted,octant_minus_unweighted,octant_g1p00_cap20,unweighted,20270203,0.0019279927163315808,0.03915625325761268,0.03164402285649237,1.4064456545195192,0.03488312608785751,-0.007840327697222621,0.014428887504680354
retuned_practical,observed_test_unweighted,octant_minus_unweighted,octant_g1p00_cap20,unweighted,20270213,0.0014818718414547627,0.03200566282201023,0.025527051787157695,1.0706199066358408,0.025331782039237832,-0.006119033943189939,0.0074256892278987685
retuned_practical,observed_test_unweighted,octant_minus_unweighted,octant_g1p00_cap20,unweighted,20270223,0.004893204512773142,0.042412874324098904,0.03443452809427491,1.4321228783601194,0.040821193516472565,-0.012682165796555733,0.017322619382863558
retuned_practical,observed_test_unweighted,octant_minus_unweighted,octant_g1p00_cap20,unweighted,20270303,0.003597046405514323,0.040580552470312725,0.03258649400210925,1.4003267836213507,0.036331063368180705,-0.009763961572768966,0.01434853286951665
retuned_practical,observed_test_unweighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20261203,-0.0008516602773089924,-0.00276736571931413,-0.002295134365072643,-0.06934006403219506,-0.0030417665557845586,-0.0011286153805997248,-0.002853107640676311
retuned_practical,observed_test_unweighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20261213,-0.0013783243878604384,-0.003866213861279777,-0.003205746271734755,-0.2470760655294164,-0.003738699471670881,-2.8670498489480334e-06,-0.003945225376234152
retuned_practical,observed_test_unweighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20261223,-0.0019963235037846333,-0.008860186696076189,-0.007282982974135599,-0.552994344366196,-0.011593744482492285,0.0013708045934193724,-0.007316917196691308
retuned_practical,observed_test_unweighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20270103,-0.00622038865551755,-0.03088532734769661,-0.025248393821027837,-0.5729169405482946,-0.019548295430451224,-0.019332996008341957,-0.07838620324167656
retuned_practical,observed_test_unweighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20270113,-0.0007633296442758203,-0.0017201040129364853,-0.001440769188981783,-0.02266442845411909,-0.0018365985314918176,-0.0024332915941215477,-0.004430871686328608
retuned_practical,observed_test_unweighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20270123,-0.0015115704615254813,-0.014653195062308,-0.011874345465885783,-0.3210273265698511,-0.00992171180212656,-0.011713510871262378,-0.04480057968819501
retuned_practical,observed_test_unweighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20270203,-0.0007425940175415646,-0.005990120182143899,-0.004874073744955493,-0.16575615039117864,-0.00677139045359218,-0.0010630792607328882,-0.009182374225455814
retuned_practical,observed_test_unweighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20270213,-0.00048421275389348706,-0.0018052019451956225,-0.0014727682527643227,0.02907253466650772,-0.0025823744651530256,0.0004682973496493298,-0.0035124126763281804
