protocol,comparison,noise_fraction,metric,n_seed_pairs,n_runs,delta_mean,delta_median,delta_ci_low,delta_ci_high,seed_mean_wins_left_lower,seed_mean_losses_left_higher,seed_mean_ties,seed_mean_sign_test_pvalue_two_sided
matched_correct_gls_practical,ols_minus_correct,0.4,test_true_measurement_whitened_residual_rms,5,60,0.007979152807751858,0.007022488890521261,0.005182707701369589,0.010822889665816194,0,5,0,0.0625
matched_correct_gls_practical,ols_minus_correct,0.8,test_observed_nrmse_radial,5,60,0.0008739445331912455,0.0008366551731864846,0.00019492781120666744,0.001518017047767619,0,5,0,0.0625
matched_correct_gls_practical,ols_minus_correct,0.8,test_latent_nrmse_radial,5,60,0.0026532911845160174,0.0025633108248391268,0.0011137994811559605,0.004081551722876824,0,5,0,0.0625
matched_correct_gls_practical,ols_minus_correct,0.8,test_hidden_nrmse_tangential,5,60,0.056981374815605904,0.05493439154370999,0.04991477201665942,0.06387763610889102,0,5,0,0.0625
matched_correct_gls_practical,ols_minus_correct,0.8,test_hidden_nrmse_3d,5,60,0.041136180289502375,0.04022828693491509,0.036165880095562146,0.04593598706424294,0,5,0,0.0625
matched_correct_gls_practical,ols_minus_correct,0.8,test_working_measurement_whitened_residual_rms,5,60,-0.009868944701989976,-0.00554579340486927,-0.022774653739248536,0.001483977199352454,3,2,0,1.0
matched_correct_gls_practical,ols_minus_correct,0.8,test_true_measurement_whitened_residual_rms,5,60,0.008312843098643007,0.006654806953474091,0.005142767543784132,0.012246368251242756,0,5,0,0.0625
retuned_practical,flattened_minus_correct,0.05,test_observed_nrmse_radial,5,60,-0.0011745176726451058,-0.000984792436961951,-0.00255953834304585,-8.272268966309646e-07,5,0,0,0.0625
retuned_practical,flattened_minus_correct,0.05,test_latent_nrmse_radial,5,60,-0.0012359681445166398,-0.0010329477834778444,-0.00282936486868977,5.0038437267463284e-05,4,1,0,0.375
retuned_practical,flattened_minus_correct,0.05,test_hidden_nrmse_tangential,5,60,0.010641453369068783,-0.0014293357806149931,-0.006471995672655103,0.02858265628846633,2,3,0,1.0
retuned_practical,flattened_minus_correct,0.05,test_hidden_nrmse_3d,5,60,0.007756331471190746,-0.0012349591492011869,-0.0052259946469291755,0.02131406237162433,2,3,0,1.0
retuned_practical,flattened_minus_correct,0.05,test_working_measurement_whitened_residual_rms,5,60,-0.2251721763367079,-0.2108235903684632,-0.2887941771092227,-0.17338245008102834,5,0,0,0.0625
retuned_practical,flattened_minus_correct,0.05,test_true_measurement_whitened_residual_rms,5,60,0.011784270976700421,0.007191632220511224,-0.011260822224647488,0.03230513833796515,1,4,0,0.375
retuned_practical,flattened_minus_correct,0.1,test_observed_nrmse_radial,5,60,-0.0012617319223169406,-0.0015364289763303146,-0.0019986145196530273,-0.000508495066469129,5,0,0,0.0625
retuned_practical,flattened_minus_correct,0.1,test_latent_nrmse_radial,5,60,-0.001505584031820986,-0.0019717902614726224,-0.002379942420747322,-0.0006197683891898982,5,0,0,0.0625
retuned_practical,flattened_minus_correct,0.1,test_hidden_nrmse_tangential,5,60,0.005397713162129958,0.005437569326764258,0.004129978585835758,0.006668239029550848,0,5,0,0.0625
retuned_practical,flattened_minus_correct,0.1,test_hidden_nrmse_3d,5,60,0.0037780078304300605,0.003815286463855011,0.0028802530592614045,0.004723602495986538,0,5,0,0.0625
retuned_practical,flattened_minus_correct,0.1,test_working_measurement_whitened_residual_rms,5,60,-0.10597657347075844,-0.09959388735076313,-0.1259325221077559,-0.09108362747330309,5,0,0,0.0625
retuned_practical,flattened_minus_correct,0.1,test_true_measurement_whitened_residual_rms,5,60,0.012738082237539756,0.007041982050738249,-0.0005740202488314131,0.027120075250580876,1,4,0,0.375
retuned_practical,flattened_minus_correct,0.2,test_observed_nrmse_radial,5,60,-0.00028245321466799876,-0.0003832830757320854,-0.0007845326935411657,0.00023591270205286673,3,2,0,1.0
retuned_practical,flattened_minus_correct,0.2,test_latent_nrmse_radial,5,60,-0.00038089565458319187,-0.0005585169251056121,-0.0011511244347211667,0.0004003410108321633,3,2,0,1.0
retuned_practical,flattened_minus_correct,0.2,test_hidden_nrmse_tangential,5,60,0.005223084081266435,0.005484338160343327,0.003923480024907732,0.006664744035619057,0,5,0,0.0625
retuned_practical,flattened_minus_correct,0.2,test_hidden_nrmse_3d,5,60,0.003776795301459184,0.003912783009014764,0.002849917422134419,0.004772424191582188,0,5,0,0.0625
retuned_practical,flattened_minus_correct,0.2,test_working_measurement_whitened_residual_rms,5,60,-0.04961039798593543,-0.047160772971300835,-0.06076715396764722,-0.0412001016627098,5,0,0,0.0625
retuned_practical,flattened_minus_correct,0.2,test_true_measurement_whitened_residual_rms,5,60,0.005315286831159812,0.004202899170971053,0.0007525398367176127,0.010275038564180683,1,4,0,0.375
retuned_practical,flattened_minus_correct,0.4,test_observed_nrmse_radial,5,60,0.000968222331946858,0.0009538067966796127,0.0007009727796940037,0.0012810361592347527,0,5,0,0.0625
retuned_practical,flattened_minus_correct,0.4,test_latent_nrmse_radial,5,60,0.002293541842238106,0.0021765063747714586,0.0017819946300528082,0.0028305063576678723,0,5,0,0.0625
retuned_practical,flattened_minus_correct,0.4,test_hidden_nrmse_tangential,5,60,0.004770057977795426,0.004922757914690268,0.00324348033158066,0.006560305828054642,0,5,0,0.0625
retuned_practical,flattened_minus_correct,0.4,test_hidden_nrmse_3d,5,60,0.0038630374804831235,0.0039189247463329024,0.0027882078946683373,0.00516041119226327,0,5,0,0.0625
retuned_practical,flattened_minus_correct,0.4,test_working_measurement_whitened_residual_rms,5,60,-0.02865535154067072,-0.026902674510544067,-0.03677612769505972,-0.02194043590301823,5,0,0,0.0625
retuned_practical,flattened_minus_correct,0.4,test_true_measurement_whitened_residual_rms,5,60,0.002755743548662182,0.0022599799330925707,0.0016514851658908005,0.003920010571731898,0,5,0,0.0625
retuned_practical,flattened_minus_correct,0.8,test_observed_nrmse_radial,5,60,4.390143924055863e-05,-6.930918662545471e-05,-0.0003336650756719073,0.0004048193631993508,3,2,0,1.0
retuned_practical,flattened_minus_correct,0.8,test_latent_nrmse_radial,5,60,5.958764653384759e-05,6.082037610163904e-05,-0.0006397999322307863,0.0007252394936075469,3,2,0,1.0
retuned_practical,flattened_minus_correct,0.8,test_hidden_nrmse_tangential,5,60,0.023086087704656432,0.021243205732114356,0.02017874062879944,0.02625600213980234,0,5,0,0.0625
retuned_practical,flattened_minus_correct,0.8,test_hidden_nrmse_3d,5,60,0.016398980350448462,0.015299321911891706,0.014351043107500579,0.018479723933260493,0,5,0,0.0625
retuned_practical,flattened_minus_correct,0.8,test_working_measurement_whitened_residual_rms,5,60,-0.024570135925507327,-0.022971029986180058,-0.0316531083706326,-0.018418153708499842,5,0,0,0.0625
retuned_practical,flattened_minus_correct,0.8,test_true_measurement_whitened_residual_rms,5,60,0.002368842023094053,0.0021427464696175402,0.0013344666326123443,0.003537660618849127,0,5,0,0.0625
retuned_practical,flattened_minus_ols,0.05,test_observed_nrmse_radial,5,60,-0.0008550808414496431,-0.00011450004008224657,-0.0025779035480740517,0.0004946118801801578,3,2,0,1.0
retuned_practical,flattened_minus_ols,0.05,test_latent_nrmse_radial,5,60,-0.0010991891606817704,-0.00014315480068220754,-0.003052299073902991,0.0004073896975088537,3,2,0,1.0
retuned_practical,flattened_minus_ols,0.05,test_hidden_nrmse_tangential,5,60,-0.007531405030591559,0.0019037620877873085,-0.028953463950697724,0.010779094622104272,4,1,0,0.375
